rank,nome,avaliacao
199,Codenames: Duet,7.49
200,Detective: A Modern Crime Board Game,7.76
301,Survive: Escape from Atlantis!,7.32
302,Dice Throne: Season Two – Battle Chest,8.13
303,Love Letter,7.23
304,Small World,7.23
305,Above and Below,7.38
306,Dungeon Lords,7.38
307,Acquire,7.34
308,Monikers,7.79
309,Awkward Guests,7.64
310,Sid Meier's Civilization: The Board Game,7.39
311,Letters from Whitechapel,7.37
312,Merchants & Marauders,7.39
313,Mission: Red Planet (Second Edition),7.43
314,Mysterium,7.26
315,Bunny Kingdom,7.45
316,Anno 1800,7.80
317,Bärenpark,7.33
318,Neuroshima Hex! 3.0,7.40
319,Dixit,7.23
320,Mage Wars Arena,7.60
321,For Sale,7.24
322,Takenoko,7.24
323,The Resistance,7.25
324,Nusfjord,7.66
325,Ghost Stories,7.29
326,Agricola: All Creatures Big and Small,7.36
327,Tekhenu: Obelisk of the Sun,7.79
328,Star Wars: Armada,7.83
329,Lost Cities,7.21
330,Marvel United,7.65
331,Harry Potter: Hogwarts Battle,7.40
332,Altiplano,7.50
333,51st State: Master Set,7.63
334,Destinies,7.86
335,Bonfire,7.74
336,The Great Zimbabwe,7.82
337,San Juan,7.24
338,Aeon's End: The New Age,8.59
339,Evolution: Climate,7.55
340,Notre Dame,7.32
341,Gizmos,7.41
342,Here I Stand,7.90
343,Innovation,7.28
344,The King's Dilemma,7.84
345,At the Gates of Loyang,7.37
346,Gùgōng,7.48
347,The Pillars of the Earth,7.27
348,Blood Bowl: Team Manager – The Card Game,7.38
349,Die Macher,7.61
350,Carpe Diem,7.55
351,Chinatown,7.39
352,Newton,7.58
353,7 Wonders (Second Edition),7.95
354,Wonderland's War,8.30
355,Endeavor,7.39
356,Saint Petersburg,7.28
357,Abyss,7.33
358,Downforce,7.34
359,Oath: Chronicles of Empire and Exile,7.89
360,Ginkgopolis,7.50
361,In the Year of the Dragon,7.32
362,Pandemic: Fall of Rome,7.66
363,King of Tokyo,7.16
364,Bruxelles 1893,7.63
365,The Godfather: Corleone's Empire,7.54
366,Tiny Towns,7.28
367,Azul: Stained Glass of Sintra,7.35
368,Maria,7.99
369,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.66
370,Ticket to Ride: Märklin,7.41
371,The King Is Dead: Second Edition,7.74
372,Twice as Clever!,7.47
373,Kemet: Blood and Sand,8.10
374,Mythic Battles: Pantheon,8.39
375,London (Second Edition),7.55
376,Clash of Cultures,7.60
377,San Juan (Second Edition),7.48
378,Sword & Sorcery,7.95
379,Civilization,7.50
380,Dice Forge,7.25
381,Nippon,7.66
382,Codenames: Pictures,7.22
383,Arkham Horror,7.25
384,Dune,7.61
385,Stockpile,7.50
386,Advanced Squad Leader,8.00
387,Space Hulk (Third Edition),7.53
388,Claustrophobia,7.49
389,Clash of Cultures: Monumental Edition,8.50
390,Mice and Mystics,7.26
391,Santa Maria,7.50
392,Macao,7.41
393,Firefly: The Game,7.39
394,Fresco,7.27
395,Thunderstone Quest,7.83
396,Schotten Totten,7.34
397,The Manhattan Project,7.34
398,Sprawlopolis,7.40
399,Spartacus: A Game of Blood and Treachery,7.47
400,Flash Point: Fire Rescue,7.18
401,Millennium Blades,7.70
402,Biblios,7.20
403,Smartphone Inc.,7.63
404,Raiders of Scythia,7.85
405,Furnace,7.47
406,Skull,7.20
407,Skull King,7.48
408,Imperium: Classics,7.79
409,Wavelength,7.37
410,Kingsburg,7.18
411,Imperial Settlers: Empires of the North,7.50
412,Lancaster,7.40
413,Glen More,7.31
414,A Few Acres of Snow,7.38
415,Heroscape Master Set: Rise of the Valkyrie,7.44
416,Welcome to the Moon,8.09
417,Point Salad,7.22
418,Return to Dark Tower,8.38
419,Quadropolis,7.25
420,Pandemic: Reign of Cthulhu,7.39
421,Love Letter,7.56
422,Charterstone,7.27
423,Sidereal Confluence,7.80
424,Lord of the Rings: The Confrontation,7.48
425,PitchCar,7.27
426,Blood Bowl: Living Rulebook,7.85
427,Amerigo,7.46
428,Mystic Vale,7.28
429,BattleLore,7.36
430,Cloudspire,8.22
431,Cubitos,7.53
432,Chess,7.17
433,Pandemic: The Cure,7.27
434,Risk Legacy,7.39
435,Pipeline,7.65
436,Mandala,7.60
437,King of Tokyo: Dark Edition,7.75
438,Commands & Colors: Napoleonics,8.01
439,Amun-Re,7.30
440,Sheriff of Nottingham,7.10
441,Unmatched: Robin Hood vs. Bigfoot,8.04
442,Black Orchestra,7.51
443,Descent: Journeys in the Dark,7.29
444,Exit: The Game – Dead Man on the Orient Express,7.63
445,Shadows of Brimstone: City of the Ancients,7.96
446,Blood Bowl (Third Edition),7.55
447,Stuffed Fables,7.50
448,Mansions of Madness,7.28
449,Forbidden Desert,7.10
450,Middara: Unintentional Malum – Act 1,8.70
451,Blitzkrieg!: World War Two in 20 Minutes,7.66
452,Oathsworn: Into the Deepwood,9.26
453,Bitoku,7.97
454,Colt Express,7.10
455,1775: Rebellion,7.65
456,Deus,7.29
457,Citadels,7.07
458,Raptor,7.28
459,"Labyrinth: The War on Terror, 2001 – ?",7.59
460,Hanabi,7.06
461,Canvas,7.40
462,Project L,7.54
463,Shadows over Camelot,7.11
464,Lords of Vegas,7.34
465,Citadels,7.28
466,Oceans,7.54
467,Friday,7.13
468,Fire in the Lake,8.06
469,Junk Art,7.39
470,Betrayal Legacy,7.70
471,CATAN,7.12
472,Nemesis: Lockdown,8.57
473,Hadara,7.44
474,No Thanks!,7.06
475,Railroad Ink: Deep Blue Edition,7.22
476,Madeira,7.57
477,Imhotep,7.16
478,London,7.34
479,Freedom: The Underground Railroad,7.57
480,First Class: All Aboard the Orient Express!,7.44
481,Small World Underground,7.25
482,Honey Buzz,7.73
483,Blackout: Hong Kong,7.47
484,Potion Explosion,7.14
485,Archipelago,7.31
486,The Grizzled,7.16
487,Thurn and Taxis,7.09
488,1846: The Race for the Midwest,7.95
489,The Fox in the Forest,7.16
490,Time's Up! Title Recall!,7.70
491,Legends of Andor,7.16
492,Bohnanza,7.04
493,Argent: The Consortium,7.66
494,Libertalia,7.14
495,BattleCON: Devastation of Indines,7.86
496,Port Royal,7.13
497,Escape Plan,7.55
498,Ingenious,7.11
499,TZAAR,7.66
500,Zombie Kidz Evolution,7.71
501,Euphoria: Build a Better Dystopia,7.21
502,Airlines Europe,7.30
503,Sentinels of the Multiverse,7.17
504,One Night Ultimate Werewolf,7.09
505,Roads & Boats,7.71
506,Elysium,7.21
507,Dawn of the Zeds (Third Edition),8.19
508,RoboRally,7.07
509,Fantastic Factories,7.52
510,Sushi Go!,7.03
511,Alhambra,7.03
512,Chicago Express,7.25
513,Egizia,7.40
514,Vikings,7.24
515,Discworld: Ankh-Morpork,7.24
516,Queendomino,7.20
517,Tales of the Arabian Nights,7.18
518,Star Wars: X-Wing (Second Edition),8.13
519,Runebound (Third Edition),7.47
520,"Air, Land, & Sea",7.49
521,Last Will,7.18
522,Vinhos,7.48
523,Pax Porfiriana,7.68
524,Taj Mahal,7.27
525,Space Empires 4X,7.70
526,Karuba,7.18
527,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,7.18
528,Long Shot: The Dice Game,7.85
529,Camel Up,7.04
530,The Colonists,7.59
531,StarCraft: The Board Game,7.35
532,Colosseum,7.21
533,Love Letter: Premium Edition,7.44
534,Baseball Highlights: 2045,7.53
535,Summoner Wars (Second Edition),8.28
536,Nova Luna,7.37
537,Paperback,7.16
538,Boonlake,7.76
539,Nexus Ops,7.21
540,Valeria: Card Kingdoms,7.46
541,Jamaica,7.07
542,DVONN,7.45
543,AquaSphere,7.27
544,Photosynthesis,7.05
545,High Society,7.12
546,Fleet: The Dice Game,7.72
547,Through the Desert,7.08
548,Las Vegas,7.15
549,Pan Am,7.58
550,Hammer of the Scots,7.54
551,Evolution,7.09
552,Carcassonne: Hunters and Gatherers,7.13
553,Broom Service,7.17
554,Automobile,7.33
555,Struggle of Empires,7.53
556,Tobago,7.11
557,In the Hall of the Mountain King,7.69
558,Conan,7.67
559,Carson City,7.23
560,Atlantis Rising (Second Edition),7.67
561,Star Wars: Destiny,7.48
562,Silver & Gold,7.27
563,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,7.77
564,Francis Drake,7.39
565,A Game of Thrones,7.19
566,Dice Throne: Season One,7.56
567,So Clover!,7.58
568,Blood Bowl (2016 Edition),8.00
569,Gears of War: The Board Game,7.47
570,A Game of Thrones: The Card Game (Second Edition),7.53
571,Coup,6.99
572,Draftosaurus,7.14
573,Black Rose Wars,8.05
574,Zombicide,7.12
575,Descent: Legends of the Dark,7.99
576,Quantum,7.26
