rank,nome,avaliacao
975,Khôra: Rise of an Empire,7.51
976,Nations: The Dice Game,6.96
977,"Hey, That's My Fish!",6.69
978,ICECOOL,6.80
979,Living Forest,7.35
980,Reavers of Midgard,7.42
981,Container: 10th Anniversary Jumbo Edition!,7.68
982,Dinosaur World,7.48
983,The Reckoners,7.74
984,Dice Town,6.86
985,Shikoku 1889,7.97
986,NMBR 9,6.89
987,Era: Medieval Age,7.24
988,Rex: Final Days of an Empire,7.07
989,Witchstone,7.65
990,Tales & Games: The Hare & the Tortoise,7.09
991,Clever Cubed,7.60
992,Via Nebula,7.04
993,Ecos: First Continent,7.17
994,Loony Quest,6.91
995,The Lord of the Rings,6.74
996,Smash Up: Monster Smash,7.27
997,The Big Book of Madness,6.92
998,Tide of Iron,7.20
999,Thunderstone: Dragonspire,7.33
1000,Wilderness War,7.71
1001,Archaeology: The New Expedition,7.14
1002,Mind MGMT: The Psychic Espionage “Game.”,8.03
1003,Paper Tales,7.04
1004,Little Town,7.23
1005,Metropolys,7.03
1006,Zendo,7.23
1007,Stronghold,7.15
1008,Netrunner,7.44
1009,Vinci,7.07
1010,When I Dream,7.00
1011,Linko!,7.00
1012,BattleCON: War of Indines,7.69
1013,Brian Boru: High King of Ireland,7.64
1014,Fauna,7.03
1015,Cockroach Poker,6.77
1016,Axis & Allies Anniversary Edition,7.43
1017,Yedo: Deluxe Master Set,8.01
1018,Ticket to Ride: London,7.13
1019,Terror in Meeple City,6.84
1020,Batman: Gotham City Chronicles,7.66
1021,Mr. Jack in New York,7.20
1022,Ghost Fightin' Treasure Hunters,7.14
1023,Hardback,7.21
1024,Smash Up,6.72
1025,Two Rooms and a Boom,6.99
1026,Dream Home,6.89
1027,Messina 1347,7.72
1028,Runebound: Second Edition,6.88
1029,Rallyman: GT,7.27
1030,China,6.99
1031,Quarriors!,6.74
1032,Ambush!,7.49
1033,Outfoxed!,7.17
1034,Quarto,6.87
1035,Unsettled,8.16
1036,Ikusa,7.02
1037,Tsuro,6.67
1038,Alma Mater,7.45
1039,Shadowrun: Crossfire,7.14
1040,Explorers of the North Sea,7.29
1041,Diamonds: Second Edition,6.91
1042,Eight-Minute Empire: Legends,6.94
1043,Flamecraft,7.77
1044,Battle Cry,7.15
1045,Quartermaster General,7.34
1046,Automania,7.33
1047,Merlin,7.12
1048,Animal Upon Animal,6.80
1049,Coconuts,7.03
1050,Shadow Hunters,6.82
1051,Battles of Westeros,7.25
1052,Deep Space D-6,7.21
1053,Wendake,7.50
1054,CuBirds,6.95
1055,Haggis,6.98
1056,The Prodigals Club,7.30
1057,Yggdrasil,7.04
1058,Honshū,6.94
1059,Mottainai,7.02
1060,Massive Darkness,7.16
1061,Rajas of the Ganges: The Dice Charmers,7.59
1062,Chimera Station,7.27
1063,Men at Work,7.27
1064,Warhammer Quest,7.48
1065,Legacy of Dragonholt,7.25
1066,Sons of Anarchy: Men of Mayhem,7.27
1067,Witness,7.26
1068,1812: The Invasion of Canada,7.34
1069,No Retreat! The Russian Front,7.77
1070,"Julius Caesar: Caesar, Pompey, and the Roman Civil War",7.79
1071,Unlock!: Escape Adventures – Squeek & Sausage,7.17
1072,Domaine,6.98
1073,Risk: Star Wars Edition,7.02
1074,Loopin' Louie,6.75
1075,Fortune and Glory: The Cliffhanger Game,7.10
1076,For the People,7.78
1077,Andean Abyss,7.62
1078,Set a Watch,7.28
1079,Dead Men Tell No Tales,7.13
1080,Super Fantasy Brawl,7.80
1081,Jump Drive,6.99
1082,Insider,7.07
1083,My Father's Work,8.06
1084,Forum Trajanum,7.25
1085,The Castles of Tuscany,7.28
1086,Encore!,6.98
1087,Vanuatu,7.22
1088,Catan Card Game,6.71
1089,Star Wars: Legion,8.04
1090,Caylus Magna Carta,6.90
1091,Tawantinsuyu: The Inca Empire,7.50
1092,Power Grid: Factory Manager,6.84
1093,Primordial Soup,6.93
1094,Watson & Holmes,7.31
1095,Whistle Stop,7.09
1096,Three Kingdoms Redux,7.87
1097,Legend of the Five Rings: The Card Game,7.39
1098,La Isla,6.87
1099,Plague Inc.: The Board Game,7.43
1100,Steam Park,6.85
1101,Claustrophobia 1643,8.05
1102,Princes of the Renaissance,7.33
1103,Level 7 [Omega Protocol],7.45
1104,Sushi Roll,7.07
1105,On Tour,6.99
1106,Machi Koro,6.61
1107,Hansa,6.88
1108,Obscurio,7.18
1109,Witch's Brew,7.01
1110,Vikings Gone Wild,7.15
1111,Blueprints,6.80
1112,Conspiracy: Abyss Universe,7.33
1113,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,7.30
1114,Manoeuvre,7.29
1115,Duelosaur Island,7.11
1116,Small World of Warcraft,7.42
1117,Crisis,7.53
1118,Fallout,6.93
1119,The Game,6.71
1120,Rise of Augustus,6.74
1121,Cockroach Poker Royal,7.07
1122,Fairy Tale,6.72
1123,Tiny Epic Dungeons,7.67
1124,Kraftwagen,7.24
1125,Colossal Arena,6.77
1126,Circle the Wagons,7.12
1127,Oriflamme,7.15
1128,Agra,7.33
1129,Stick 'Em,7.04
1130,Tiny Epic Zombies,6.99
1131,Council of 4,7.17
1132,Exit: The Game – The Sinister Mansion,7.33
1133,GIPF,7.10
1134,Street Masters,8.06
1135,Escape from the Aliens in Outer Space,6.93
1136,Fleet,6.87
1137,Escape Room: The Game,6.98
1138,Cleopatra and the Society of Architects,6.80
1139,Thunderbolt Apache Leader,8.04
1140,Merchants of the Dark Road,7.50
1141,Ninjato,7.18
1142,Mythos Tales,7.39
1143,Roll Player Adventures,8.32
1144,Spicy,7.18
1145,Peloponnes,7.11
1146,Strasbourg,7.16
1147,Brazil: Imperial,7.89
1148,Hamburgum,7.05
1149,High Frontier 4 All,8.49
1150,New York 1901,6.81
1151,A Touch of Evil: The Supernatural Game,6.98
1152,Poker,6.72
1153,Carcassonne: South Seas,7.07
1154,Fallout Shelter: The Board Game,7.30
1155,Blokus Duo,6.83
1156,Mysterium Park,7.17
1157,Endless Winter: Paleoamericans,8.00
1158,The Lord of the Rings: The Card Game – Revised Core Set,8.59
1159,Dungeon Fighter,6.82
1160,Castle Panic,6.65
1161,Fief: France 1429,7.44
1162,Ponzi Scheme,7.17
1163,Medieval Academy,6.95
1164,Pictomania (Second Edition),7.59
1165,Final Girl,8.38
1166,Hacienda,6.93
1167,The Golden Ages,7.26
1168,Startups,7.15
1169,Claim,6.98
1170,Santiago de Cuba,6.89
1171,Ultimate Werewolf: Ultimate Edition,6.99
1172,Arkadia,6.91
1173,Spirits of the Wild,7.36
1174,Mission: Red Planet,6.89
1175,A Game of Thrones: The Card Game,6.82
1176,ISS Vanguard,9.10
1177,Dungeon Twister,6.82
1178,Java,7.01
1179,Thunderbirds,7.56
1180,Rise of Tribes,7.17
1181,Smash Up: It's Your Fault!,7.51
1182,Liberty or Death: The American Insurrection,7.80
1183,Carcassonne: Winter Edition,7.50
1184,Keythedral,7.05
1185,Royals,7.17
1186,Hostage Negotiator,6.84
1187,Exit: The Game – The Sunken Treasure,7.07
1188,Faiyum,7.56
1189,The Werewolves of Miller's Hollow,6.71
1190,Trains: Rising Sun,7.43
1191,Sentient,7.22
1192,Unmatched Game System,8.36
1193,Odin's Ravens (Second Edition),7.02
1194,Folklore: The Affliction,7.74
1195,Rattus,6.78
1196,Three Sisters,7.70
1197,Fog of Love,6.77
1198,BattleTech,7.08
1199,"The Hunters: German U-Boats at War, 1939-43",7.75
1200,Liberté,7.13
1201,Viceroy,6.81
1202,Ulm,7.04
1203,Castell,7.45
1204,Elfenland,6.69
1205,Merchant of Venus,7.14
1206,Copenhagen,7.04
1207,Planet Steam,7.12
1208,Guildhall,6.90
1209,18Chesapeake,7.78
1210,The Magic Labyrinth,6.82
1211,Betrayal at Baldur's Gate,7.11
1212,Medina,7.02
1213,Dead Man's Draw,6.85
1214,Rialto,6.90
1215,1862: Railway Mania in the Eastern Counties,8.28
1216,Ubongo,6.70
1217,Timeline: Inventions,6.71
1218,Evo,6.87
1219,Moonrakers,7.85
1220,Sylvion,7.09
1221,Catacombs,7.07
1222,Rallyman,7.20
1223,Codex Naturalis,7.23
1224,Dale of Merchants 2,7.31
1225,Dark Moon,7.00
1226,UBOOT: The Board Game,7.66
1227,Axis & Allies Europe 1940,7.56
1228,Super-Skill Pinball: 4-Cade,7.21
1229,Conflict of Heroes: Storms of Steel! – Kursk 1943,7.70
1230,Maximum Apocalypse,7.56
1231,Qwinto,7.02
1232,Paris,7.29
1233,Ghost Blitz,6.71
1234,Hellboy: The Board Game,7.86
1235,New Angeles,7.10
1236,Cartagena,6.68
1237,Saboteur,6.56
1238,Flick of Faith,7.40
1239,Heroes of Normandie,7.46
1240,KeyForge: Age of Ascension,7.28
1241,Mariposas,6.91
1242,One Deck Dungeon: Forest of Shadows,7.15
1243,Keyper,7.31
1244,Fearsome Floors,6.67
1245,Fire & Axe: A Viking Saga,7.00
1246,TransAmerica,6.68
1247,Rolling Realms,7.22
1248,The Captain Is Dead,7.10
1249,Star Trek: Catan,7.00
1250,Wings of War: Famous Aces,6.86
1251,Tussie Mussie,6.97
1252,World of Warcraft: Wrath of the Lich King,7.61
1253,Eat Poop You Cat,7.46
1254,Fireball Island: The Curse of Vul-Kar,6.82
1255,Starship Catan,6.84
1256,Warsaw: City of Ruins,7.33
1257,Coloma,7.37
1258,The Little Prince: Make Me a Planet,6.91
1259,Exit: The Game – The Forgotten Island,6.95
1260,Carnival of Monsters,7.29
1261,Mega Civilization,8.24
1262,Titan,6.97
1263,The Castles of Burgundy: The Dice Game,6.90
1264,Mystery Rummy: Jack the Ripper,6.95
1265,Tournay,6.98
1266,Lockup: A Roll Player Tale,7.37
1267,Villages of Valeria,7.01
1268,Advanced Squad Leader: Starter Kit #2,7.96
1269,Mykerinos,6.85
1270,Werewords Deluxe Edition,7.57
1271,Welcome to the Dungeon,6.57
1272,XenoShyft: Onslaught,6.93
1273,The Starfarers of Catan,6.81
1274,Back to the Future: Back in Time,7.29
1275,Here I Stand: 500th Anniversary Edition,8.59
1276,Doom: The Boardgame,6.86
1277,The Staufer Dynasty,7.15
1278,Porta Nigra,7.18
1279,Unearth,6.87
1280,Kahuna,6.62
1281,Aeon's End: Outcasts,8.59
1282,Murano,7.19
1283,Merkator,7.04
1284,Room 25,6.72
1285,Spot it!,6.58
1286,Unlock!: Escape Adventures – The Formula,7.01
1287,Stronghold: 2nd edition,7.47
1288,Jekyll vs. Hyde,7.34
1289,Deep Madness,7.87
1290,Cosmic Encounter,6.92
1291,Say Anything,6.72
1292,Museum,7.22
1293,Botanik,7.75
1294,Cross Clues,7.34
1295,Imperial Steam,7.85
1296,Heroes of Terrinoth,7.32
1297,Cahoots,7.16
1298,Asara,7.01
1299,Imhotep: The Duel,7.11
1300,The Fox in the Forest Duet,7.10
1301,V-Sabotage,7.75
1302,Exit: The Game – The Polar Station,6.90
1303,Gloom of Kilforth: A Fantasy Quest Game,7.56
1304,Manhattan,6.73
1305,Agricola: Family Edition,7.09
1306,Calimala,7.20
1307,Gravwell: Escape from the 9th Dimension,6.89
1308,Barony,7.08
1309,Exit: The Game – The Mysterious Museum,7.17
1310,Guillotine,6.53
1311,Walking in Burano,7.15
1312,Timeline: Events,6.78
1313,Escape Tales: The Awakening,7.10
1314,Wyatt Earp,6.83
1315,Turn the Tide,6.78
1316,Naga Raja,7.18
1317,Rum & Bones: Second Tide,7.64
1318,Warrior Knights,6.87
1319,NEOM,7.33
1320,Kingdom Rush: Rift in Time,7.45
1321,Dice City,6.75
1322,Edge of Darkness,7.50
1323,Chronicles of Crime: 1900,8.13
1324,Aton,6.87
1325,Pioneer Days,7.26
1326,Balloon Cup,6.68
1327,Dice Throne,7.79
1328,La Cosa Nostra,7.65
1329,Blue Moon,6.70
1330,Valley of the Kings: Afterlife,7.25
1331,Las Vegas Royale,7.44
1332,Brew,7.21
1333,Amyitis,6.92
1334,Viral,6.97
1335,Medina (Second Edition),7.21
1336,Solenia,7.08
1337,Lost Cities: The Board Game,6.79
1338,Rune Age,6.81
1339,DC Comics Deck-Building Game: Heroes Unite,7.39
1340,Mascarade,6.59
1341,Ascending Empires,7.18
1342,Ca$h 'n Gun$,6.56
1343,Aftermath,7.70
1344,Galaxy Defenders,7.45
1345,Vampire: The Eternal Struggle,7.23
1346,Star Wars: Epic Duels,7.01
1347,Pickomino,6.57
1348,Canopy,7.49
1349,Genotype: A Mendelian Genetics Game,7.59
1350,De Vulgari Eloquentia,7.22
1351,Mindbug: First Contact,7.96
1352,Escape the Dark Castle,7.46
1353,Bausack,6.81
1354,Tides of Time,6.61
1355,Ticket to Ride: Germany,7.61
1356,Wild Space,7.27
1357,Agropolis,7.50
1358,CloudAge,7.33
1359,Löwenherz,7.04
1360,Quoridor,6.66
1361,It's a Wonderful Kingdom,7.53
1362,SHŌBU,7.56
1363,Meuterer,6.87
1364,Roma,6.75
1365,Star Wars: Unlock!,7.09
1366,Smart10,7.51
1367,Le Havre: The Inland Port,6.83
1368,Kodama: The Tree Spirits,6.71
1369,Imagine,6.89
1370,The Artemis Project,7.28
1371,Yukon Airways,7.39
1372,Ishtar: Gardens of Babylon,7.05
1373,Nothing Personal,7.05
1374,Axis & Allies Pacific 1940,7.50
1375,Aladdin's Dragons,6.90
1376,Antike II,7.46
1377,Blokus 3D,6.79
1378,Haspelknecht: The Story of Early Coal Mining,7.24
1379,Pavlov's House,7.95
1380,Top Ten,7.58
1381,Kremlin,6.97
1382,Fields of Fire,7.86
1383,Onirim,6.65
1384,Expedition to Newdale,7.44
1385,Carolus Magnus,6.83
1386,Beasty Bar,6.82
1387,Similo,6.84
1388,Robo Rally,7.02
1389,Wildcatters,7.60
1390,Infinity Gauntlet: A Love Letter Game,7.05
1391,The 7th Continent: Classic Edition,7.75
1392,The Initiative,7.66
1393,Wallenstein (Second Edition),7.59
1394,D-Day Dice,6.83
1395,Scotland Yard,6.51
1396,Tides of Madness,6.80
1397,Illusion,6.76
1398,Backgammon,6.55
1399,DOOM: The Board Game,7.45
1400,Pictures,7.19
1401,Bargain Quest,6.91
1402,Timeline: General Interest,6.78
1403,Dungeons & Dragons: Temple of Elemental Evil Board Game,7.39
1404,Exit: The Game – The Catacombs of Horror,7.37
1405,Factory Fun,6.81
1406,Tramways,7.41
1407,"Unmatched: Battle of Legends, Volume Two",8.52
1408,Advanced Squad Leader: Starter Kit #3,8.04
1409,Stephenson's Rocket,6.91
1410,Strike,6.91
1411,Eight-Minute Empire,6.57
1412,Traders of Osaka,6.82
1413,Middle-earth,7.31
1414,Sun Tzu,7.05
1415,Necromunda,7.30
1416,Blokus Trigon,6.90
1417,Sleuth,6.90
1418,Kingdomino Origins,7.62
1419,Yomi,6.95
1420,Café,7.37
1421,Omen: A Reign of War,7.33
1422,Happy Salmon,6.71
1423,Renegade,7.73
1424,Coup: Rebellion G54,6.99
1425,Zombie Teenz Evolution,7.81
1426,Sword of Rome,7.34
1427,Battle Line: Medieval,7.68
1428,Sherlock Holmes Consulting Detective: Carlton House & Queen's Park,7.88
1429,Horrified: American Monsters,7.65
1430,Magic Realm,7.26
1431,The Rose King,6.81
1432,BANG!,6.50
1433,The Guild of Merchant Explorers,7.79
1434,Patchistory,7.10
1435,Riftforce,7.45
1436,Coffee Traders,7.79
1437,The Quest for El Dorado: The Golden Temples,7.75
1438,High Frontier,7.38
1439,My Village,6.93
1440,Maglev Metro,7.31
1441,Kashgar: Merchants of the Silk Road,7.07
1442,In the Shadow of the Emperor,6.87
1443,Sherlock Holmes Consulting Detective: The Baker Street Irregulars,8.45
1444,Pixel Tactics,6.87
1445,Space Crusade,7.03
1446,Power Grid: The First Sparks,6.79
1447,Piepmatz,7.11
1448,Junta,6.69
1449,Masmorra: Dungeons of Arcadia,7.05
1450,Havana,6.85
1451,Pueblo,6.95
1452,The Scepter of Zavandor,6.97
1453,Planet,6.71
1454,Hit Z Road,6.77
1455,Aerion,7.39
1456,Empire Builder,6.95
1457,1856: Railroading in Upper Canada from 1856,7.51
1458,Skulk Hollow,7.33
1459,Indian Summer,6.79
1460,I'm the Boss!,6.77
1461,Doomtown: Reloaded,7.12
1462,Neanderthal,7.33
1463,Trekking the World,7.12
1464,Welcome Back to the Dungeon,6.76
1465,Navajo Wars,7.96
1466,RAF: The Battle of Britain 1940,8.02
1467,Giants,6.96
1468,Oceanos,6.83
1469,Ascension: Immortal Heroes,7.34
1470,Codex: Card-Time Strategy – Deluxe Set,8.02
1471,Mü & More,7.15
1472,Nanty Narking,7.55
1473,Indigo,6.84
1474,Olympos,6.91
1475,CV,6.60
1476,Spyfall 2,6.91
1477,Shogi,7.39
1478,Stella: Dixit Universe,7.29
1479,Gingerbread House,7.00
1480,Ingenious: Travel Edition,7.10
1481,Dice Settlers,6.94
1482,Pirate's Cove,6.57
1483,Wars of the Roses: Lancaster vs. York,7.36
1484,Aquaretto,6.98
1485,Bloodborne: The Card Game,6.90
1486,The Civil War 1861-1865,7.73
1487,Ad Astra,6.87
1488,Risk 2210 A.D.,6.69
1489,Skulls of Sedlec,7.50
1490,Kitchen Rush (Revised Edition),7.57
1491,Walnut Grove,6.98
1492,Trapwords,6.98
1493,Dragonfire,7.17
1494,Kingdoms,6.65
1495,The Rich and the Good,7.09
1496,Warhammer Quest: Blackstone Fortress,7.87
1497,Exit: The Game – The Forbidden Castle,6.83
1498,Unlock!: Secret Adventures – The Adventurers of Oz,7.40
1499,Tortuga 1667,6.93
1500,Unlock!: Mythic Adventures,7.77
1501,Revolution!,6.72
1502,Renature,7.22
1503,The Red Dragon Inn 2,6.92
1504,Age of Renaissance,7.10
1505,Tiny Epic Kingdoms,6.56
1506,Call of Cthulhu: The Card Game,6.91
1507,Aristeia!,8.25
1508,Dungeon Degenerates: Hand of Doom,8.21
1509,Ogre,6.95
1510,Marrakech,6.69
1511,Unconditional Surrender! World War 2 in Europe,8.15
1512,Habitats,7.35
1513,Perseverance: Castaway Chronicles – Episodes 1 & 2,7.88
1514,Tempel des Schreckens,7.12
1515,Curious Cargo,7.20
1516,Android,6.74
1517,Fireteam Zero,7.51
1518,Mystery of the Abbey,6.54
1519,Thanos Rising: Avengers Infinity War,7.13
1520,The Bottle Imp,6.74
1521,Arctic Scavengers,6.80
1522,Miyabi,7.50
1523,Rise of Empires,7.04
1524,Power Struggle,6.98
1525,The Great Dalmuti,6.57
1526,Paper Dungeons: A Dungeon Scrawler Game,7.29
1527,The Climbers,6.80
1528,Himalaya,7.00
1529,Human Punishment: Social Deduction 2.0,7.68
1530,Here to Slay,6.98
1531,Pendragon: The Fall of Roman Britain,7.95
1532,Overboss: A Boss Monster Adventure,7.48
1533,1817,8.66
1534,Warfighter: The Tactical Special Forces Card Game,7.71
1535,Oregon,6.76
1536,Stardew Valley: The Board Game,7.40
1537,GKR: Heavy Hitters,7.62
1538,On the Underground,6.90
1539,The New Era,7.50
1540,Puzzle Strike: Third Edition,7.20
1541,Campy Creatures,7.07
1542,Adventure Land,6.92
1543,Drop It,6.92
1544,World of Warcraft: The Boardgame,6.69
1545,Ys,6.88
1546,Beyond Balderdash,6.82
1547,PitchCar Mini,6.97
1548,World in Flames,7.61
1549,SET,6.50
1550,Timeline: Discoveries,6.72
1551,Massive Darkness 2: Hellscape,8.11
1552,Otys,6.99
1553,The Lord of the Ice Garden,7.64
1554,Pergamon,6.91
1555,Axis & Allies,6.69
1556,6 nimmt! 25 Jahre,7.42
1557,The Ancient World (Second Edition),7.58
1558,Time's Up! Edición Amarilla,7.49
1559,Successors (Third Edition),7.53
1560,Rune Stones,7.28
1561,A Study in Emerald (Second Edition),6.90
1562,Harry Potter: Hogwarts Battle – Defence Against the Dark Arts,7.21
1563,"Artifacts, Inc.",6.76
1564,Chocolate Factory,7.14
1565,Machina Arcana (Second/Third Edition),8.10
1566,The Ancient World,7.01
1567,A House Divided: War Between the States 1861-65,7.08
1568,Gulo Gulo,6.83
1569,City of Iron,7.18
1570,Adventure Games: The Dungeon,6.99
1571,Unlock!: Mystery Adventures – The House on the Hill,7.01
1572,Legendary Encounters: A Firefly Deck Building Game,7.10
1573,Bios: Megafauna (Second Edition),7.67
1574,Samurai Spirit,6.63
1575,Jungle Speed,6.49
1576,Sanctum,7.13
1577,Path of Light and Shadow,7.42
1578,51st State,6.81
1579,Iwari,7.17
1580,Imaginarium,7.19
1581,Caesar!: Seize Rome in 20 Minutes!,7.73
1582,Capital Lux,7.01
1583,Kamisado,6.93
1584,Empires in Arms,7.62
1585,Sorcerer City,7.48
1586,Ave Caesar,6.62
1587,Battle Cry: 150th Civil War Anniversary Edition,7.64
1588,Key Flow,7.39
1589,Mordheim: City of the Damned,7.32
1590,Mangrovia,7.17
1591,Transatlantic,7.07
1592,König von Siam,6.92
1593,Bruxelles 1897,7.26
1594,Axis & Allies,6.57
1595,Leonardo da Vinci,6.74
1596,Love Letter: Adventure Time,7.24
1597,Ascension: Rise of Vigil,7.16
1598,Euthia: Torment of Resurrection,8.75
1599,Minecraft: Builders & Biomes,7.01
1600,New York Slice,6.71
1601,The Great Heartland Hauling Co.,6.86
1602,Carcassonne: Amazonas,7.06
1603,TRAILS,7.15
1604,Helvetia,6.98
1605,Food Chain Island,7.27
1606,Hare & Tortoise,6.63
1607,The Adventurers: The Temple of Chac,6.61
1608,Gutenberg,7.45
1609,1849: The Game of Sicilian Railways,8.20
1610,New Bedford,7.08
1611,The King Is Dead,7.13
1612,Flip Ships,7.01
1613,Wooden Ships & Iron Men,7.06
1614,Star Trek: Attack Wing,7.51
1615,Treasure Hunter,6.77
1616,Evo (Second Edition),6.94
1617,Favor of the Pharaoh,6.79
1618,Space Cadets: Dice Duel,6.76
1619,Sluff Off!,6.87
1620,Smash Up: The Obligatory Cthulhu Set,6.74
1621,Normandy '44,7.89
1622,The Russian Campaign,7.33
1623,Wits & Wagers Party,6.90
1624,Babel,6.65
1625,Virus!,6.74
1626,The Red Dragon Inn,6.57
1627,Ride the Rails,7.22
1628,Sheriff of Nottingham: 2nd Edition,7.43
1629,Battle Sheep,6.61
1630,Strat-O-Matic Baseball,7.82
1631,Forge War,7.21
1632,Niagara,6.47
1633,Altar Quest,7.79
1634,Trambahn,6.95
1635,Troyes Dice,7.08
1636,1860: Railways on the Isle of Wight,7.92
1637,Timeline: Music & Cinema,6.73
1638,Nefertiti,6.99
1639,Feed the Kraken,8.13
1640,DC Comics Dice Masters: Justice League,7.31
1641,La Boca,6.97
1642,The Expanse Board Game,7.19
1643,Big City,6.86
1644,Century: Golem Edition – Eastern Mountains,7.42
1645,Exodus: Proxima Centauri,7.15
1646,Steam Time,7.09
1647,Project: ELITE,7.61
1648,Unlock!: Mystery Adventures – The Tonipal's Treasure,7.02
1649,Petrichor,6.97
1650,Krosmaster: Arena,6.73
1651,Spirits of the Forest,6.88
1652,Fjords,6.74
1653,Clans,6.56
1654,Dice Throne: Season Two – Gunslinger v. Samurai,7.61
1655,Duplik,6.97
1656,Felicity: The Cat in the Sack,6.57
1657,Twilight Inscription,7.78
1658,Time's Up! Edición Azul,7.35
1659,Québec,7.14
1660,A Game of Thrones: Hand of the King,6.65
1661,Dungeon Mayhem,6.96
1662,Xiangqi,7.12
1663,Smash Up: Cease and Desist,7.44
1664,"Colonial Twilight: The French-Algerian War, 1954-62",7.75
1665,Ubongo 3D,7.08
1666,A Victory Lost: Crisis in Ukraine 1942-1943,7.66
1667,Masters of Renaissance: Lorenzo il Magnifico – The Card Game,7.22
1668,Antike Duellum,7.07
1669,Anomia,6.68
1670,Century: Golem Edition – An Endless World,7.65
1671,Steel Driver,6.97
1672,Abandon All Artichokes,6.68
1673,John Company,7.43
1674,Love Letter: The Hobbit – The Battle of the Five Armies,7.11
1675,Dungeons & Dragons Dice Masters: Battle for Faerûn,7.23
1676,Historia,6.88
1677,Reykholt,6.73
1678,Infinity N3: Core Book,8.07
1679,Odin's Ravens,6.66
1680,Machi Koro Legacy,6.97
1681,Tsuro of the Seas,6.53
1682,A Castle for All Seasons,6.73
1683,Carrom,7.06
1684,Egizia: Shifting Sands,7.55
1685,Karak,7.28
1686,Diamonds Club,7.04
1687,Llamaland,7.39
1688,Talisman: Revised 4th Edition,6.52
1689,The Bridges of Shangri-La,6.83
1690,Expedition: Northwest Passage,6.98
1691,Monolith Arena,7.49
1692,Château Roquefort,6.85
1693,Cóatl,7.04
1694,Sanssouci,7.13
1695,"Napoléon: The Waterloo Campaign, 1815",7.36
1696,Breakout: Normandy,7.69
1697,Holmes: Sherlock & Mycroft,6.82
1698,Ra: The Dice Game,6.78
1699,Pharaon,7.42
1700,My First Carcassonne,6.68
1701,Paranormal Detectives,7.05
1702,Cold War: CIA vs KGB,6.63
1703,Floriferous,7.64
1704,Legend of the Five Rings,7.16
1705,Cantaloop: Book 1 – Breaking into Prison,7.63
1706,Noctiluca,7.14
1707,Metro X,7.15
1708,Royal Palace,6.87
1709,Edo,7.06
1710,Tiny Epic Western,6.65
1711,ICECOOL2,7.20
1712,Burgle Bros 2: The Casino Capers,7.46
1713,Terramara,7.33
1714,Rummikub,6.42
1715,Pax Pamir,7.46
1716,L.L.A.M.A.,6.49
1717,Age of Civilization,7.10
1718,Bios: Origins (Second Edition),7.86
1719,Founding Fathers,6.96
1720,LYNGK,7.60
1721,Railroad Ink Challenge: Shining Yellow Edition,7.67
1722,Ground Floor,7.01
1723,Europe Engulfed: WWII European Theatre Block Game,7.47
1724,Theseus: The Dark Orbit,7.04
1725,Nautilion,7.23
1726,Eurorails,7.10
1727,Nyet!,6.77
1728,SPQR (Deluxe Edition),8.03
1729,Cytosis: A Cell Biology Board Game,7.05
1730,Field Commander: Napoleon,7.72
1731,The Red Dragon Inn 3,7.21
1732,Heroscape Marvel: The Conflict Begins,7.03
1733,5-Minute Marvel,6.83
1734,A Song of Ice & Fire: Tabletop Miniatures Game – Stark vs Lannister Starter Set,8.16
1735,Glasgow,7.19
1736,Monumental,7.64
1737,Thunderstone Advance: Numenera,7.28
1738,Warhammer: Diskwars,7.07
1739,Mini Rogue,7.66
1740,Mare Nostrum,6.72
1741,Warhammer Underworlds: Nightvault,7.80
1742,Sol: Last Days of a Star,7.55
1743,TEN,7.16
1744,Arena: Roma II,6.88
1745,Seeland,6.91
1746,Exit: The Game – The Haunted Roller Coaster,7.17
1747,Carcassonne: Gold Rush,7.14
1748,The Rise of Queensdale,7.48
1749,Rise to Nobility,7.00
1750,Labyrinth,6.40
1751,Dale of Merchants Collection,7.84
1752,The Boss,6.80
1753,B-17: Queen of the Skies,7.11
1754,La Granja: No Siesta,6.80
1755,Coal Baron: The Great Card Game,7.10
1756,Fertility,7.19
1757,Neta-Tanka: Deluxe Edition,7.22
1758,Memoarrr!,6.91
1759,Bootleggers,6.68
1760,Wasabi!,6.54
1761,Hoity Toity,6.52
1762,Trans Europa,6.65
1763,Cat in the Box: Deluxe Edition,7.79
1764,Mamma Mia!,6.47
1765,Marvel Dice Masters: Age of Ultron,7.23
1766,Wits & Wagers Family,6.91
1767,Race! Formula 90,7.97
1768,Stroganov,7.36
1769,Corinth,6.75
1770,The Hunger,7.17
1771,Cthulhu Realms,6.70
1772,Paris Connection,6.67
1773,Samurai Sword,6.67
1774,Endangered,7.61
1775,Tournament at Camelot,7.18
1776,Ascension: Realms Unraveled,7.53
1777,Factory Funner,7.24
1778,Show Manager,6.99
1779,Serenissima,6.86
1780,2 de Mayo,6.90
1781,Archaeology: The Card Game,6.67
1782,Pyramid of Pengqueen,6.89
1783,Pax Transhumanity,7.57
1784,Frank's Zoo,6.61
1785,Holland '44: Operation Market-Garden,8.28
1786,Hands in the Sea,7.85
1787,Citrus,7.10
1788,Wildlife Safari,6.66
1789,HeroQuest Advanced Quest,7.33
1790,Cutthroat Caverns,6.53
1791,Age of War,6.45
1792,Duel of Ages II,7.39
1793,Steampunk Rally Fusion,7.54
